s,d,n,p,k,seed,error_naive_med,error_elliptical_med,num_na
100,2,1000,high,medium,278,626.3482695141864,0.3638267587329073,6
100,3,1000,high,medium,278,867.9597755822956,0.4199032680157107,6
100,4,1000,high,medium,278,1012.7546661653184,0.4354376431267095,15
100,5,1000,high,medium,278,1270.4449915358207,0.4807200338918046,17
100,6,1000,high,medium,278,1121.9143593822178,0.4419340911574581,17
100,7,1000,high,medium,278,1262.6893558103664,0.5378016122065798,22
100,8,1000,high,medium,278,1725.2389736994182,0.5349277361333169,21
100,9,1000,high,medium,278,1613.0511165349633,0.5550999448375271,21
100,10,1000,high,medium,278,1769.847737421411,0.590303012566243,16
100,11,1000,high,medium,278,1724.1146010335142,0.5431934706599393,23
100,12,1000,high,medium,278,1948.4265132303667,0.6019294543410514,23
100,13,1000,high,medium,278,2112.833077564716,0.5923999900084295,26
100,14,1000,high,medium,278,1801.4179147568684,0.6317082471197331,28
100,15,1000,high,medium,278,2470.265245748212,0.6522443094992787,25
100,16,1000,high,medium,278,2516.944431846481,0.8216746722810988,27
100,17,1000,high,medium,278,2249.046333909563,0.674798454886884,33
100,18,1000,high,medium,278,2428.846376358155,0.7079154272615911,26
100,19,1000,high,medium,278,1977.3184274779796,0.632066291656642,40
100,20,1000,high,medium,278,2784.8483234490095,0.6425137317610277,33
100,21,1000,high,medium,278,2307.8672447089893,0.789895269340336,34
100,22,1000,high,medium,278,2524.765418132183,0.7291848259510373,35
100,23,1000,high,medium,278,2675.678740850548,0.7732359152137722,30
100,24,1000,high,medium,278,2980.000368927051,0.7978153512886708,30
100,25,1000,high,medium,278,2522.9800572007634,0.7622713513734942,36
100,26,1000,high,medium,278,2965.5061669393435,0.7991231755091988,29
100,27,1000,high,medium,278,3172.5344602304754,0.752862670799272,37
100,28,1000,high,medium,278,2897.424089206548,0.7063611886451245,39
100,29,1000,high,medium,278,2747.9307679213875,0.8055898878159589,43
100,30,1000,high,medium,278,2513.2800968939764,0.7330758212386257,45
