s,d,n,p,k,seed,error_naive_med,error_elliptical_med,num_na
100,2,1000,medium,large,278,269.43835344414885,0.30939611790102256,10
100,3,1000,medium,large,278,296.99291855650665,0.37190796495108047,17
100,4,1000,medium,large,278,428.2623170717726,0.35482282955131783,15
100,5,1000,medium,large,278,457.1748920174443,0.3960554474437733,17
100,6,1000,medium,large,278,472.50430952373165,0.4130367129163829,23
100,7,1000,medium,large,278,473.12143020895246,0.45394046292766377,30
100,8,1000,medium,large,278,582.4499273706194,0.5056595717457433,30
100,9,1000,medium,large,278,465.61990323529966,0.45602851552333923,36
100,10,1000,medium,large,278,757.5841480355302,0.47577662215045413,23
100,11,1000,medium,large,278,630.2028446174168,0.5525262861125728,34
100,12,1000,medium,large,278,711.5844660431047,0.5182345149327698,43
100,13,1000,medium,large,278,713.4477802829566,0.5124336686057942,36
100,14,1000,medium,large,278,618.6251531500228,0.4902651946809681,43
100,15,1000,medium,large,278,818.24248629486965,0.5965826445062584,38
100,16,1000,medium,large,278,775.2876542249929,0.7080112955171036,41
100,17,1000,medium,large,278,899.4731998119414,0.5591075932604785,36
100,18,1000,medium,large,278,742.5552508801818,0.5832458046145554,45
100,19,1000,medium,large,278,796.2327161528656,0.5535588766752151,51
100,20,1000,medium,large,278,933.1126220604508,0.6460477378198952,43
100,21,1000,medium,large,278,830.9843284146407,0.5733499954334969,52
100,22,1000,medium,large,278,924.4885199082141,0.6228071249832753,48
100,23,1000,medium,large,278,1152.6170909594603,0.5760122571214709,42
100,24,1000,medium,large,278,1207.5553332168051,0.7283098616982953,39
100,25,1000,medium,large,278,1168.2659413569681,0.6183566377882749,45
100,26,1000,medium,large,278,1178.700957327861,0.6969796520559548,43
100,27,1000,medium,large,278,1193.762527215013,0.595916911019321,47
100,28,1000,medium,large,278,985.2512608913414,0.622957191765585,56
100,29,1000,medium,large,278,905.7719039444445,0.7526077544561997,59
100,30,1000,medium,large,278,939.1172994828307,0.5750502606705614,59
